"PMID","Title","Journal","Year"
"21450309","Association of 5-HTT gene polymorphisms with migraine: a systematic review and meta-analysis.","Journal of the neurological sciences","2011"
"33447900","A Comprehensive Review on the Role of Genetic Factors in the Pathogenesis of Migraine.","Journal of molecular neuroscience : MN","2021"
"16987890","Mitochondrial DNA polymerase-gamma and human disease.","Human molecular genetics","2006"
"18369391","Migraine as a sex-conditioned inherited disorder: evidences from China and the world.","Neuroscience bulletin","2008"
"26356526","[Genetic aspects of migraine].","Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova","2015"
"40497543","Causal associations between genetically predicted placental weight and migraine.","Headache","2025"
"39568055","A structural analysis of the splice-specific functional impact of the pathogenic familial hemiplegic migraine type 1 S218L mutation on Cav2.1 P/Q-type channel gating.","Molecular brain","2024"
"30634909","Novel hypotheses emerging from GWAS in migraine?","The journal of headache and pain","2019"
"22072275","Genetics of migraine in the age of genome-wide association studies.","The journal of headache and pain","2012"
"37925562","Comprehensive analysis of genes associated with migraine in the Indian population: a meta-analysis of genetic association studies with trial sequential analysis.","Scientific reports","2023"
"8869764","Migraine without aura and migraine with aura are inherited disorders.","Cephalalgia : an international journal of headache","1996"
"19221299","ACE D/I polymorphism, migraine, and cardiovascular disease in women.","Neurology","2009"
"26800698","Case-control study of GRIA1 and GRIA3 gene variants in migraine.","The journal of headache and pain","2015"
"27322543","Meta-analysis of 375,000 individuals identifies 38 susceptibility loci for migraine.","Nature genetics","2016"
"37380951","Non-coding variants in VAMP2 and SNAP25 affect gene expression: potential implications in migraine susceptibility.","The journal of headache and pain","2023"
"23058564","Association of 231G>A polymorphism of endothelin type A receptor gene with migraine: a meta-analysis.","Journal of the neurological sciences","2012"
"11890456","Calcium channels and channelopathies of the central nervous system.","Molecular neurobiology","2002"
"29883369","Genomics of Fibromuscular Dysplasia.","International journal of molecular sciences","2018"
"19219470","Association between migraine and a functional polymorphism at the dopamine beta-hydroxylase locus.","Neurogenetics","2009"
"34669083","Risk of migraine contributed by genetic polymorphisms of ANKDD1B gene: a case-control study based on Chinese Han population.","Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","2022"
"28656458","A genetic risk score is differentially associated with migraine with and without aura.","Human genetics","2017"
"18366776","Angiotensin-converting enzyme gene insertion/deletion polymorphism in migraine patients.","BMC neurology","2008"
"12849426","The genetics of migraine.","The Lancet. Neurology","2002"
"9523056","Genetic basis of migraine.","Clinical neuroscience (New York, N.Y.)","1998"
"36808568","Cross-trait analyses identify shared genetics between migraine, headache, and glycemic traits, and a causal relationship with fasting proinsulin.","Human genetics","2023"
"28058730","Multilocus analysis reveals three candidate genes for Chinese migraine susceptibility.","Clinical genetics","2017"
"11412868","Significance of serotonin transporter gene polymorphism in migraine.","Journal of the neurological sciences","2001"
"25494303","Progesterone receptor gene (PROGINS) polymorphism correlates with late onset of migraine.","DNA and cell biology","2015"
"12047333","Tumor necrosis factor gene polymorphism in migraine.","Headache","2002"
"25295643","Is SOD2 Ala16Val polymorphism associated with migraine with aura phenotype?","Antioxidants & redox signaling","2015"
"29890676","The Role of Genetic Polymorphisms in Chronic Pain Patients.","International journal of molecular sciences","2018"
"16492242","Investigating the association between Notch3 polymorphism and migraine.","Headache","2006"
"7553809","Genetic markers: association study in migraine.","Cephalalgia : an international journal of headache","1995"
"10845081","Pain genes?: natural variation and transgenic mutants.","Annual review of neuroscience","2000"
"23052833","A possible role for mitochondrial dysfunction in migraine.","Molecular genetics and genomics : MGG","2012"
"34294844","New and sex-specific migraine susceptibility loci identified from a multiethnic genome-wide meta-analysis.","Communications biology","2021"
"29671086","The NRP1 migraine risk variant shows evidence of association with menstrual migraine.","The journal of headache and pain","2018"
"34972135","A replication study separates polymorphisms behind migraine with and without depression.","PloS one","2021"
"41067425","Multivariate genomic analysis elucidates the genetic architecture of shared components of burning mouth syndrome.","Journal of stomatology, oral and maxillofacial surgery","2026"
"17119788","Mutation analysis of CACNA1A and ATP1A2 genes in Brazilian FHM families.","Arquivos de neuro-psiquiatria","2006"
"24040787","Do folate, vitamins B₆ and B₁₂ play a role in the pathogenesis of migraine? The role of pharmacoepigenomics.","CNS & neurological disorders drug targets","2014"
"15694196","Monoamine oxidases A and B gene polymorphisms in migraine patients.","Journal of the neurological sciences","2005"
"27483173","MTHFR and ACE Polymorphisms Do Not Increase Susceptibility to Migraine Neither Alone Nor in Combination.","Headache","2016"
"38802400","HMG-CoA reductase is a potential therapeutic target for migraine: a mendelian randomization study.","Scientific reports","2024"
"30266756","Common variants at 5q33.1 predispose to migraine in African-American children.","Journal of medical genetics","2018"
"12811615","Pharmacogenomics: state of the research and perspectives in clinical application.","Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","2003"
"22664050","Thrombophilic gene mutations in children with migraine.","Hematology (Amsterdam, Netherlands)","2012"
"24959879","Effects of tumor necrosis factor-β (TNF-β) 252A>G polymorphism on the development of migraine: a meta-analysis.","PloS one","2014"
"12763173","[Heterozygous prothrombin gene mutation G20210A and associated diseases].","La Revue de medecine interne","2003"
"18184292","A novel ATP1A2 gene mutation in an Irish familial hemiplegic migraine kindred.","Headache","2008"
"16361951","Association of migraine and ESR1 G325C polymorphism.","Neuroreport","2006"
"20652353","Genetic polymorphisms related to efficacy and overuse of triptans in chronic migraine.","The journal of headache and pain","2010"
"41097341","Precision Target Discovery for Migraine: An Integrated GWAS-eQTL-PheWAS Pipeline.","Molecules (Basel, Switzerland)","2025"
"20813781","Association of a Notch 3 gene polymorphism with migraine susceptibility.","Cephalalgia : an international journal of headache","2011"
"32997693","Association of the cyclooxygenase-2 1759A allele with migraine in Chinese Han individuals.","PloS one","2020"
"26231841","Association of genetic loci for migraine susceptibility in the she people of China.","The journal of headache and pain","2015"
"19772578","Two-stage case-control association study of dopamine-related genes and migraine.","BMC medical genetics","2009"
"30635810","rs2651899 variant is associated with risk for migraine without aura from North Indian population.","Molecular biology reports","2019"
"30167989","New CACNA1A deletions are associated to migraine phenotypes.","The journal of headache and pain","2018"
"19619240","The relationship between homocysteine and genes of folate-related enzymes in migraine patients.","Headache","2010"
"8933989","Migraine association and linkage analyses of the human 5-hydroxytryptamine (5HT2A) receptor gene.","Cephalalgia : an international journal of headache","1996"
"38898596","Identifying novel proteins for migraine by integrating proteomes from blood and CSF with genome-wide association data.","CNS neuroscience & therapeutics","2024"
"24666033","Replication of migraine GWAS susceptibility loci in Chinese Han population.","Headache","2014"
"27189022","A splice variant in the ACSL5 gene relates migraine with fatty acid activation in mitochondria.","European journal of human genetics : EJHG","2016"
"12056940","Mutation analysis of the CACNA1A calcium channel subunit gene in 27 patients with sporadic hemiplegic migraine.","Archives of neurology","2002"
"23294458","Replication and meta-analysis of common variants identifies a genome-wide significant locus in migraine.","European journal of neurology","2013"
"27288795","Association of MDR1, CYP2D6, and CYP2C19 gene polymorphisms with prophylactic migraine treatment response.","Journal of the neurological sciences","2016"
"31443546","Novel Characteristics of Race-Specific Genetic Functions in Korean CADASIL.","Medicina (Kaunas, Lithuania)","2019"
"23772601","Association of a GRIA3 gene polymorphism with migraine in an Australian case-control cohort.","Headache","2013"
"36814110","Celiac disease-associated loci show considerable genetic overlap with neuropsychiatric diseases but with limited transethnic applicability.","Journal of genetics","2023"
"26829381","Functional genomics of candidate genes derived from genome-wide association studies for five common neurological diseases.","The International journal of neuroscience","2017"
"17635597","Association between a polymorphism in the lymphotoxin-a promoter region and migraine.","Headache","2007"
"39841246","Conventional and genetic association between migraine and stroke with druggable genome-wide Mendelian randomization.","Human genetics","2025"
"22784462","Detection of a novel mutation in the CACNA1A gene.","Twin research and human genetics : the official journal of the International Society for Twin Studies","2012"
"10818516","CADASIL: hereditary arteriopathy leading to multiple brain infarcts and dementia.","Annals of the New York Academy of Sciences","2000"
"34161831","Development and validation of a reporter gene assay for bioactivity determination of Anti-CGRP monoclonal antibodies.","Analytical biochemistry","2021"
"19486361","Alcohol dehydrogenase 2 genotype and risk for migraine.","Headache","2010"
"16508934","The CACNA1A and ATP1A2 genes are not involved in dominantly inherited migraine with aura.","American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics","2006"
"26283425","Neuronal Nitric Oxide Synthase (nNOS, NOS1) rs693534 and rs7977109 Variants and Risk for Migraine.","Headache","2015"
"16800002","MTHFR C677T polymorphism and migraine with aura.","Annals of neurology","2006"
"28699326","Gamma-Aminobutyric Acid (Gaba) Receptors Rho (Gabrr) Gene Polymorphisms and Risk for Migraine.","Headache","2017"
"16179580","Estrogen receptor alpha gene variation and the risk of stroke.","Stroke","2005"
"11755252","Apolipoprotein E gene polymorphisms in patients with migraine.","Neuroscience letters","2002"
"28753427","A Genetic Variant Associated with Five Vascular Diseases Is a Distal Regulator of Endothelin-1 Gene Expression.","Cell","2017"
"19695648","The ergot alkaloid gene cluster: functional analyses and evolutionary aspects.","Phytochemistry","2009"
"16866717","Migrainous vertigo: mutation analysis of the candidate genes CACNA1A, ATP1A2, SCN1A, and CACNB4.","Headache","2006"
"27031617","Genetic Polymorphisms Affect Mouse and Human Trace Amine-Associated Receptor 1 Function.","PloS one","2016"
"12119109","Physical mapping and characterization of the human Na,K-ATPase isoform, ATP1A4.","Gene","2002"
"9595868","5-HT1B receptor polymorphism and clinical response to sumatriptan.","Headache","1998"
"38927733","Identification of Polymorphisms in EAAT1 Glutamate Transporter Gene SLC1A3 Associated with Reduced Migraine Risk.","Genes","2024"
"39352055","No association between migraine and HLA alleles in a cohort of 13,210 individuals with migraine from the Danish Blood Donor Study.","Headache","2025"
"32076896","Familial analysis reveals rare risk variants for migraine in regulatory regions.","Neurogenetics","2020"
"20482220","Vascular endothelial growth factor genetic polymorphisms and haplotypes in women with migraine.","DNA and cell biology","2010"
"27394076","The inverse link between genetic risk for schizophrenia and migraine through NMDA (N-methyl-D-aspartate) receptor activation via D-serine.","European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology","2016"
"33126486","Comprehensive Exonic Sequencing of Hemiplegic Migraine-Related Genes in a Cohort of Suspected Probands Identifies Known and Potential Pathogenic Variants.","Cells","2020"
"9295094","Allelic variation in the serotonin 5-HT2C receptor gene and migraine.","Neuroreport","1997"
"19087248","Investigation of gamma-aminobutyric acid (GABA) A receptors genes and migraine susceptibility.","BMC medical genetics","2008"
"12474141","A locus for migraine without aura maps on chromosome 14q21.2-q22.3.","American journal of human genetics","2003"
"23847153","Headache among CADASIL patients with R544C mutation: prevalence, characteristics, and associations.","Cephalalgia : an international journal of headache","2014"
"34320725","The Relationship between Genotype of Serotonin-transporter-linked Polymorphic Region (5-HTTLPR) and Migraine combined with Depression.","Journal of the College of Physicians and Surgeons--Pakistan : JCPSP","2021"
"12873747","Investigation of an LDLR gene polymorphism (19p13.2) in susceptibility to migraine without aura.","Journal of the neurological sciences","2003"
"16732845","Serotonin transporter protein polymorphism and harm avoidance personality in migraine without aura.","Headache","2006"
"22865486","Interaction among nitric oxide (NO)-related genes in migraine susceptibility.","Molecular and cellular biochemistry","2012"
"22013108","CBG Santiago: a novel CBG mutation.","The Journal of clinical endocrinology and metabolism","2012"
"11320173","Involvement of the CACNA1A gene containing region on 19p13 in migraine with and without aura.","Neurology","2001"
"10759887","Cytochrome P450 2D6 and glutathione S-transferase M1 genotypes and migraine.","European journal of clinical investigation","2000"
"11153544","Genetics, an alternative way to discover, characterize and understand ion channels.","Clinical and experimental pharmacology & physiology","2001"
"14513409","Localization of a gene for migraine without aura to chromosome 4q21.","American journal of human genetics","2003"
"33155547","Sustained TNF-α stimulation leads to transcriptional memory that greatly enhances signal sensitivity and robustness.","eLife","2020"
"18513263","Screen for CACNA1A and ATP1A2 mutations in sporadic hemiplegic migraine patients.","Cephalalgia : an international journal of headache","2008"
"20935329","NOTCH3 mutations and clinical features in 33 mainland Chinese families with CADASIL.","Journal of neurology, neurosurgery, and psychiatry","2011"
"24266335","Genome-wide-associated variants in migraine susceptibility: a replication study from North India.","Headache","2013"
"19559392","A candidate gene association study of 77 polymorphisms in migraine.","The journal of pain","2009"
"16930413","Microarray-based long-term detection of genes differentially expressed after cortical spreading depression.","The European journal of neuroscience","2006"
"12915447","Significant linkage to migraine with aura on chromosome 11q24.","Human molecular genetics","2003"
"31873179","Reduced TRPM8 expression underpins reduced migraine risk and attenuated cold pain sensation in humans.","Scientific reports","2019"
"24845269","Association of endothelial nitric oxide synthase gene polymorphisms (894G/T, -786T/C, G10T) and clinical findings in patients with migraine.","Neuromolecular medicine","2014"
"37761855","Four Novel Disease-Causing Variants in the NOTCH3 Gene in Russian Patients with CADASIL.","Genes","2023"
"24532229","Psychiatric comorbidity of chronic daily headache: focus on traumatic experiences in childhood, post-traumatic stress disorder and suicidality.","Current pain and headache reports","2014"
"9748026","Association between dopamine receptor genes and migraine without aura in a Sardinian sample.","Neurology","1998"
"17996090","CADASIL in Arabs: clinical and genetic findings.","BMC medical genetics","2007"
"29357833","Genome-wide DNA methylation profiling in whole blood reveals epigenetic signatures associated with migraine.","BMC genomics","2018"
"28573794","Possible Involvement of the CACNA1E Gene in Migraine: A Search for Single Nucleotide Polymorphism in Different Clinical Phenotypes.","Headache","2017"
"23922230","The molecular pathogenesis of migraine: new developments and opportunities.","Human molecular genetics","2013"
"26868704","Analysis of dopamine beta hydroxylase gene polymorphisms in migraine.","Clinical neurology and neurosurgery","2016"
"26525453","Single-Gene Determinants of Epilepsy Comorbidity.","Cold Spring Harbor perspectives in medicine","2015"
"20213484","Frequencies of genetic polymorphisms related to triptans metabolism in chronic migraine.","The journal of headache and pain","2010"
"19363995","[Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL)].","Rinsho byori. The Japanese journal of clinical pathology","2009"
"28710804","Clinical features and mutation spectrum in Chinese patients with CADASIL: A multicenter retrospective study.","CNS neuroscience & therapeutics","2017"
"19661472","Relation of candidate genes that encode for endothelial function to migraine and stroke: the Stroke Prevention in Young Women study.","Stroke","2009"
"15088153","Association analysis of the functional monoamine oxidase A gene promotor polymorphism in migraine.","Journal of neural transmission (Vienna, Austria : 1996)","2004"
"31505242","Could rs4379368 be a genetic marker for North Indian migraine patients with aura?: Preliminary evidence by a replication study.","Neuroscience letters","2019"
"25147936","Possible association between dysfunction of vitamin D binding protein (GC Globulin) and migraine attacks.","PloS one","2014"
"20035431","Investigation of TNFA 308G > A and TNFB 252G > A polymorphisms in genetic susceptibility to migraine.","Journal of neurology","2010"
"25039261","Association study of MTHFD1 coding polymorphisms R134K and R653Q with migraine susceptibility.","Headache","2014"
"23793025","Genome-wide meta-analysis identifies new susceptibility loci for migraine.","Nature genetics","2013"
"9329692","Notch3 mutations in cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL), a mendelian condition causing stroke and vascular dementia.","Annals of the New York Academy of Sciences","1997"
"20407783","Paraoxonase 1 (PON1) polymorphisms and risk for migraine.","Journal of neurology","2010"
"28089731","Investigation of polymorphisms in genes involved in estrogen metabolism in menstrual migraine.","Gene","2017"
"36961171","Case report: Mild leukoencephalopathy caused by a new mutation of NOTCH3 gene.","Medicine","2023"
"24579972","De novo mutation in the NOTCH3 gene causing CADASIL.","Bosnian journal of basic medical sciences","2014"
"27019440","Contribution of polymorphisms in ESR1, ESR2, FSHR, CYP19A1, SHBG, and NRIP1 genes to migraine susceptibility in Turkish population.","Journal of genetics","2016"
"17598758","Family-based analysis of serotonin transporter gene polymorphisms in migraine with and without aura.","Cephalalgia : an international journal of headache","2007"
"25633374","Systematic re-evaluation of genes from candidate gene association studies in migraine using a large genome-wide association data set.","Cephalalgia : an international journal of headache","2016"
"20488209","The serotonin transporter gene polymorphism STin2 VNTR confers an increased risk of inconsistent response to triptans in migraine patients.","European journal of pharmacology","2010"
"39266962","Genetic variants associated with response to anti-CGRP monoclonal antibody therapy in a chronic migraine Han Chinese population.","The journal of headache and pain","2024"
"25012921","[Genetics of primary headache syndromes].","Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz","2014"
"16542858","Lack of association between C3435T nucleotide MDR1 genetic polymorphism and multidrug-resistant epilepsy.","Seizure","2006"
"27781952","Novel Mutation of the NOTCH3 Gene in a Chinese Pedigree with CADASIL.","CNS & neurological disorders drug targets","2017"
"10408533","A novel nonsense mutation in CACNA1A causes episodic ataxia and hemiplegia.","Neurology","1999"
"18498390","Severe attacks of familial hemiplegic migraine, childhood epilepsy and ATP1A2 mutation.","Cephalalgia : an international journal of headache","2008"
"25476251","Genome-wide screen for modifiers of Na (+) /K (+) ATPase alleles identifies critical genetic loci.","Molecular brain","2014"
"8898206","Familial hemiplegic migraine and episodic ataxia type-2 are caused by mutations in the Ca2+ channel gene CACNL1A4.","Cell","1996"
"23811028","Association of MTHFR C677T polymorphism with susceptibility to migraine in the Chinese population.","Neuroscience letters","2013"
"25434717","Influence of tumor necrosis factor alpha gene promoter polymorphisms and its serum level on migraine susceptibility in Egyptian patients.","Journal of the neurological sciences","2015"
"26814133","Six novel rare non-synonymous mutations for migraine without aura identified by exome sequencing.","Journal of neurogenetics","2015"
"18035351","5-hydroxytryptamine1B receptor and triptan response in migraine, lack of association with common polymorphisms.","European journal of pharmacology","2008"
"26763045","Early-onset familial hemiplegic migraine due to a novel SCN1A mutation.","Cephalalgia : an international journal of headache","2016"
"25412914","CADASIL and autoimmunity: coexistence in a family with the R169C mutation at exon 4 of the NOTCH3 gene.","Cerebrovascular diseases (Basel, Switzerland)","2014"
"24040174","Interaction between γ-aminobutyric acid A receptor genes: new evidence in migraine susceptibility.","PloS one","2013"
"17381556","Combined effects of ACE and MMP-3 polymorphisms on migraine development.","Cephalalgia : an international journal of headache","2007"
"9513185","Comorbid migraine with aura, anxiety, and depression is associated with dopamine D2 receptor (DRD2) NcoI alleles.","Molecular medicine (Cambridge, Mass.)","1998"
"22926161","Genotypes of the MTHFR C677T and MTRR A66G genes act independently to reduce migraine disability in response to vitamin supplementation.","Pharmacogenetics and genomics","2012"
"39930676","[The role of genetic polymorphisms in folate metabolism genes in the manifestation of migraine in children].","Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova","2025"
"9915947","Recurrence of the T666M calcium channel CACNA1A gene mutation in familial hemiplegic migraine with progressive cerebellar ataxia.","American journal of human genetics","1999"
"16504171","No role for estrogen receptor 1 gene intron 1 Pvu II and exon 4 C325G polymorphisms in migraine susceptibility.","BMC medical genetics","2006"
"17563839","Association study between clinical response to rizatriptan and some candidate genes.","The journal of headache and pain","2007"
"12707077","Phenotypes of spinocerebellar ataxia type 6 and familial hemiplegic migraine caused by a unique CACNA1A missense mutation in patients from a large family.","Archives of neurology","2003"
"22683712","Genome-wide association analysis identifies susceptibility loci for migraine without aura.","Nature genetics","2012"
"16378686","Exclusion of the juvenile myoclonic epilepsy gene EFHC1 as the cause of migraine on chromosome 6, but association to two rare polymorphisms in MEP1A and RHAG.","Neuroscience letters","2006"
"15705118","A highly polymorphic poly-glutamine stretch in the potassium channel KCNN3 in migraine.","Headache","2005"
"8554054","Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy, genetic homogeneity, and mapping of the locus within a 2-cM interval.","American journal of human genetics","1996"
"17417740","Functional polymorphisms of the 5-HT1A and 5-HT1B receptor are associated with clinical symptoms in migraineurs.","Journal of neural transmission (Vienna, Austria : 1996)","2007"
"19081115","Role of the ACE ID and MTHFR C677T polymorphisms in genetic susceptibility of migraine in a north Indian population.","Journal of the neurological sciences","2009"
"23230240","Lack of association between the MTHFR C677T variant and migraine with aura in an older population: could selective survival play a role?","Cephalalgia : an international journal of headache","2013"
"19434366","Functional gene variants of the serotonin-synthesizing enzyme tryptophan hydroxylase 2 in migraine.","Journal of neural transmission (Vienna, Austria : 1996)","2009"
"10607897","A fine physical map of the CACNA1A gene region on 19p13.1-p13.2 chromosome.","Gene","2000"
"16807713","Mitochondrial DNA sequence variation and mutation rate in patients with CADASIL.","Neurogenetics","2006"
"19152006","New genetic evidence for involvement of the dopamine system in migraine with aura.","Human genetics","2009"
"10371528","High prevalence of CACNA1A truncations and broader clinical spectrum in episodic ataxia type 2.","Neurology","1999"
"15546598","Investigation of the low-density lipoprotein receptor gene and cholesterol as a risk factor for migraine.","Journal of the neurological sciences","2004"
"27090416","Plasma urotensin-2 level and Thr21Met but not Ser89Asn polymorphisms of the urotensin-2 gene are associated with migraines.","The journal of headache and pain","2016"
"17063315","The G-308A promoter variant of the tumor necrosis factor-alpha gene is associated with migraine without aura.","Journal of neurology","2006"
"21755523","Paraoxonase 1 gene polymorphisms, paraoxonase/arylesterase activities and oxidized low-density lipoprotein levels in patients with migraine.","Cell biochemistry and function","2011"
"15549560","Elusive amines and cluster headache: mutational analysis of trace amine receptor cluster on chromosome 6q23.","Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","2004"
"17115991","Endothelial nitric oxide synthase (Glu298Asp) polymorphism is an independent risk factor for migraine with aura.","Headache","2006"
"12111613","Is the CACNA1A gene involved in familial migraine with aura?","Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","2002"
"17690944","Family-based association analysis of functional VNTR polymorphisms in the dopamine transporter gene in migraine with and without aura.","Journal of neural transmission (Vienna, Austria : 1996)","2008"
"25929431","Look beyond Catechol-O-Methyltransferase genotype for cathecolamines derangement in migraine: the BioBIM rs4818 and rs4680 polymorphisms study.","The journal of headache and pain","2015"
"24321404","mRNA distribution of CGRP and its receptor components in the trigeminovascular system and other pain related structures in rat brain, and effect of intracerebroventricular administration of CGRP on Fos expression in the TNC.","Neuroscience letters","2014"
"23660682","Investigation of APOE isoforms and the association between APOE E3 and E4 with migraine in the Australian Caucasian population.","Neuroreport","2013"
"17609999","Association of progesterone receptor with migraine-associated vertigo.","Neurogenetics","2007"
"25095812","Clinical and radiological features in CADASIL and NOTCH3-negative patients: a multicenter study from Turkey.","European neurology","2014"
"16157018","Analysis of chromosome 1 microsatellite markers and the FHM2-ATP1A2 gene mutations in migraine pedigrees.","Neurological research","2005"
"17927652","Efficacy of folic acid in children with migraine, hyperhomocysteinemia and MTHFR polymorphisms.","Headache","2007"
"19153782","Familial hemiplegic migraine: linkage to chromosome 14q32 in a Spanish kindred.","Neurogenetics","2009"
"17559350","Pharmacogenetics of migraine: genetic variants and their potential role in migraine therapy.","Pharmacogenomics","2007"
"10408532","Genetic heterogeneity in Italian families with familial hemiplegic migraine.","Neurology","1999"
"17095019","Association between a 19 bp deletion polymorphism at the dopamine beta-hydroxylase (DBH) locus and migraine with aura.","Journal of the neurological sciences","2006"
"7959770","Genetic heterogeneity of familial hemiplegic migraine.","Genomics","1994"
"20579352","Common variants in the regulative regions of GRIA1 and GRIA3 receptor genes are associated with migraine susceptibility.","BMC medical genetics","2010"
"15876982","Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL).","Panminerva medica","2004"
"15654614","Investigation of hormone receptor genes in migraine.","Neurogenetics","2005"
"21666692","Genome-wide association study reveals three susceptibility loci for common migraine in the general population.","Nature genetics","2011"
"32414585","A Novel Heterozygous Variant in Exon 19 of NOTCH3 in a Saudi Family with Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy.","Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association","2020"
"16162291","Association analysis of a highly polymorphic CAG Repeat in the human potassium channel gene KCNN3 and migraine susceptibility.","BMC medical genetics","2005"
"18687083","Lack of association of endothelial nitric oxide synthase polymorphisms and migraine.","Headache","2008"
"17727731","Association analysis of chromosome 1 migraine candidate genes.","BMC medical genetics","2007"
"18676988","A high-density association screen of 155 ion transport genes for involvement with common migraine.","Human molecular genetics","2008"
"29397368","A Genome-Wide Association Study Finds Genetic Associations with Broadly-Defined Headache in UK Biobank (N=223,773).","EBioMedicine","2018"
"26659468","OCT1 mediates hepatic uptake of sumatriptan and loss-of-function OCT1 polymorphisms affect sumatriptan pharmacokinetics.","Clinical pharmacology and therapeutics","2016"
"12756131","Expanding the phenotypic spectrum of the CACNA1A gene T666M mutation: a description of 5 families with familial hemiplegic migraine.","Archives of neurology","2003"
"22678113","A genome-wide analysis of 'Bounty' descendants implicates several novel variants in migraine susceptibility.","Neurogenetics","2012"
"15644278","Association of the insertion/deletion polymorphism of the angiotensin I-converting enzyme gene in patients of migraine with aura.","Neuroscience letters","2005"
"15642926","A functional serotonin transporter gene polymorphism is associated with migraine with aura.","Neurology","2005"
"12525718","Hereditary infantile hemiparesis, retinal arteriolar tortuosity, and leukoencephalopathy.","Neurology","2003"
